Symbol,Date,Open,High,Low,Close,Volume,Open Interest
MWK22,2022-02-01,903,920,902.75,911.5,1673,18443
MWK22,2022-01-31,918,930.5,892.75,902.75,2572,18452
MWK22,2022-01-28,900,920.25,899.75,917.25,1402,18717
MWK22,2022-01-27,914.25,917.75,899.25,900,1963,18794
MWK22,2022-01-26,942,942,911,913.75,3661,18843
MWK22,2022-01-25,942,961.25,941.25,944,2173,18137
MWK22,2022-01-24,935,945.25,930.75,944,1826,17682
MWK22,2022-01-21,939.75,942,925,931.5,1199,17522
MWK22,2022-01-20,934.25,946.75,929.75,940.5,1866,17522
MWK22,2022-01-19,904.25,937,904,935.5,2530,17686
MWK22,2022-01-18,875.5,905.25,871.5,904.75,1564,17804
MWK22,2022-01-14,894.25,894.25,875.75,877,2699,17509
MWK22,2022-01-13,914.75,924.5,890.5,894.25,3246,17464
MWK22,2022-01-12,926,929.5,912.75,918.25,2111,16468
MWK22,2022-01-11,914.25,930,912.25,925.5,1767,16187
MWK22,2022-01-10,922,923,909,912.25,1946,16157
MWK22,2022-01-07,920.25,924,904.5,920.25,4355,16389
MWK22,2022-01-06,943.25,943.25,921,921.5,4039,15624
MWK22,2022-01-05,969,969.75,941,944.25,2813,15237
MWK22,2022-01-04,966.5,971.25,955.5,965.5,1906,15589
MWK22,2022-01-03,978.75,984.75,959.5,962.75,1601,15589
MWK22,2021-12-31,989.75,990.75,974,976.25,570,15524
MWK22,2021-12-30,1001,1001,982.25,985,957,15352
MWK22,2021-12-29,994,1003.75,988,1000.75,1414,15267
MWK22,2021-12-28,1017.75,1020,991.25,993,1611,15420
MWK22,2021-12-27,1024.5,1029,1014,1017.5,606,15294
MWK22,2021-12-23,1020.25,1028,1017.5,1024.75,786,15153
MWK22,2021-12-22,1016,1023.75,1010.25,1020.25,1889,15220
MWK22,2021-12-21,1008.75,1018.75,1003.5,1016,1762,15088
MWK22,2021-12-20,1012.25,1014,999,1009.75,519,15239
MWK22,2021-12-17,1014.25,1021,1010,1012,951,15238
MWK22,2021-12-16,1001,1019,994.75,1016,1422,15065
MWK22,2021-12-15,1008.75,1009,992.25,999.75,1605,15087
MWK22,2021-12-14,1006.5,1012.5,1002.75,1010,942,15019
MWK22,2021-12-13,1007.75,1014,998.75,1008.25,860,15031
MWK22,2021-12-10,1009.5,1016.5,1005.75,1010,608,15004
MWK22,2021-12-09,1020.5,1026.5,1003.75,1009.5,1802,14810
MWK22,2021-12-08,1022.5,1024.5,1011,1021.5,1066,14433
MWK22,2021-12-07,1015.25,1024,1011.25,1022.5,1054,14549
MWK22,2021-12-06,1014,1016.75,997.75,1015.75,576,14564
MWK22,2021-12-03,1024.25,1026.75,1006,1008.75,756,14397
MWK22,2021-12-02,1012.5,1031.25,1011,1027.75,2020,14066
MWK22,2021-12-01,1003,1017.25,990.75,1009.5,1831,13918
MWK22,2021-11-30,1032.25,1032.25,998.25,1000,1755,13161
MWK22,2021-11-29,1044.75,1053,1025.75,1034.25,676,12758
MWK22,2021-11-26,1017,1044.75,1015.75,1039.25,671,12784
MWK22,2021-11-24,1036,1049.75,1028.25,1036.75,2785,12484
MWK22,2021-11-23,1020.75,1039.25,1019,1037.75,2977,11501
MWK22,2021-11-22,1015.75,1027.75,1014.25,1023.25,1190,10407
MWK22,2021-11-19,1015,1015.5,1002.5,1004.5,1502,10032
MWK22,2021-11-18,1024.5,1032.25,1007.25,1007.5,1502,10032
MWK22,2021-11-17,1002,1018.25,1002,1014.25,296,9524
MWK22,2021-11-16,1013.25,1013.25,988.25,1002,1330,9462
MWK22,2021-11-15,1029,1035,1003.25,1014.75,1864,8952
MWK22,2021-11-12,1032,1038,1021.75,1029,1798,8053
MWK22,2021-11-11,1014.75,1035.75,1014.5,1026,913,8053
MWK22,2021-11-10,997,1017,997,1015.75,686,7810
MWK22,2021-11-09,977.5,997.5,977.5,993.75,681,7680
MWK22,2021-11-08,979.5,981.5,972.5,977.5,405,7496
MWK22,2021-11-05,987.25,990.25,972,975.25,1085,7352
MWK22,2021-11-04,1002.25,1014.75,978.25,978.25,1013,7042
MWK22,2021-11-03,1022.5,1030.5,992.25,1002,759,6766
MWK22,2021-11-02,1023.25,1035.5,1017.25,1028.25,838,6627
MWK22,2021-11-01,1004,1027,1004,1026.75,1769,6513
MWK22,2021-10-29,995,1003.25,985.25,1001.5,361,5712
MWK22,2021-10-28,981.75,998,978.75,989.5,248,5712
MWK22,2021-10-27,966.75,990,966.75,980.25,550,5700
MWK22,2021-10-26,975.75,995,970.5,974.5,804,5700
MWK22,2021-10-25,961.75,980.5,960.5,975.75,409,5697
MWK22,2021-10-22,950.5,967.5,947.25,962.75,531,5749
MWK22,2021-10-21,955,958,944.25,946.25,231,5734
MWK22,2021-10-20,945.25,957.75,945.25,953.5,592,5699
MWK22,2021-10-19,947.25,947.25,937.25,942.5,333,5655
MWK22,2021-10-18,941,941.5,936,938,206,5660
MWK22,2021-10-15,928.75,949.75,928.5,939.75,679,5587
MWK22,2021-10-14,927.25,936,927.25,932,432,5572
MWK22,2021-10-13,930.25,931.25,909.75,923.75,823,5783
MWK22,2021-10-12,920.25,933.5,920,929,565,5785
MWK22,2021-10-11,922.75,922.75,915.75,920.25,225,5865
MWK22,2021-10-08,917.5,925.5,917.5,921,145,5835
MWK22,2021-10-07,914.25,919.5,913.25,916.75,549,5794
