p_adj,unit,product,geo\time	2020 	2019 	2018 	2017 	2016 	2015 
NI,I15,202300,CZ	: 	103.00 	103.20 	96.80 	90.40 	100.00 
NI,I15,202300,DE	: 	108.60 	109.80 	99.50 	90.20 	100.00 
NI,I15,202300,DK	: 	133.00 	126.76 	107.69 	94.79 	100.00 
NI,I15,202300,EE	: 	122.96 	122.27 	109.75 	95.72 	100.00 
NI,I15,202300,EL	: 	117.50 	117.53 	106.34 	91.07 	100.00 
NI,I15,202300,ES	: 	115.30 	110.10 	95.20 	86.80 	100.00 
NI,I15,202300,EU27_2020	: 	112.27 p	111.96 	99.01 	90.54 	100.00 
NI,I15,202300,EU28	: 	113.16 p	112.71 	99.68 	90.74 	100.00 
NI,I15,202300,FI	: 	117.24 	117.65 	102.26 	90.44 	100.00 
NI,I15,202300,FR	: 	120.09 	122.20 	102.26 	87.83 	100.00 
NI,I15,202300,HR	: 	: c	: c	: c	: c	: c
NI,I15,202300,HU	: 	110.30 	109.40 	98.80 	91.20 	100.00 
NI,I15,202300,IE	: 	106.90 	108.02 	98.26 	90.08 	100.00 
NI,I15,202300,IT	: 	111.90 	109.60 	96.50 	87.70 	100.00 
NI,I15,202300,LT	: 	105.80 	109.38 	87.07 	76.83 	100.00 
NI,I15,202300,LU	: 	115.66 	118.63 	98.92 	84.54 	100.00 
NI,I15,202300,LV	: 	112.70 	113.14 	101.27 	93.67 	100.00 
NI,I15,202300,MT	: 	98.58 	94.67 	93.05 	92.18 	100.00 
NI,I15,202300,NL	: 	111.80 	109.90 	99.90 	92.20 	100.00 
NI,I15,202300,PL	: 	110.01 p	107.55 	99.18 	93.21 	100.00 
NI,I15,202300,PT	: 	115.37 	113.59 	102.33 	92.51 	100.00 
NI,I15,202300,RO	: 	107.55 	106.25 	91.07 	93.37 	100.00 
NI,I15,202300,SE	: 	123.50 	119.50 	106.70 	98.00 	100.00 
NI,I15,202300,SI	: 	105.82 	108.28 	99.81 	91.19 	100.00 
NI,I15,202300,SK	: 	134.30 	137.78 	92.63 	79.26 	100.00 
NI,I15,202300,UK	: 	123.91 	121.85 	107.66 	93.20 	100.00 
NI,I15,202400,BE	: 	113.15 	114.87 	104.79 	94.72 	100.00 
NI,I15,202400,BG	: 	97.90 	96.80 	96.20 	99.20 	100.00 
NI,I15,202400,CY	: 	106.40 	107.80 	105.11 	97.14 	100.00 
NI,I15,202400,CZ	: 	: c	: c	: c	: c	: c
NI,I15,202400,DE	: 	106.10 	102.90 	101.40 	100.90 	100.00 
NI,I15,202400,EE	: 	101.25 	100.42 	98.03 	99.88 	100.00 
NI,I15,202400,EL	: 	99.44 	99.36 	99.36 	99.19 	100.00 
NI,I15,202400,ES	: 	99.20 	99.90 	98.60 	99.60 	100.00 
NI,I15,202400,EU27_2020	: 	107.71 p	107.79 	102.21 	100.08 	100.00 
NI,I15,202400,EU28	: 	107.71 p	107.79 	102.21 	100.08 	100.00 
NI,I15,202400,FI	: 	100.32 	98.73 	97.69 	99.21 	100.00 
NI,I15,202400,FR	: 	96.61 	97.56 	98.73 	99.86 	100.00 
NI,I15,202400,HR	: 	: c	: c	: c	: c	: c
NI,I15,202400,HU	: 	110.00 	104.10 	100.20 	100.10 	100.00 
NI,I15,202400,IE	: 	105.77 	104.20 	103.80 	100.76 	100.00 
NI,I15,202400,IT	: 	112.30 	112.30 	103.90 	101.10 	100.00 
NI,I15,202400,LT	: 	121.99 	116.35 	104.54 	102.79 	100.00 
NI,I15,202400,NL	: 	114.10 	131.30 	111.50 	90.30 	100.00 
NI,I15,202400,PL	: 	103.23 p	101.71 	100.49 	99.57 	100.00 
NI,I15,202400,PT	: 	94.33 	93.75 	94.33 	96.73 	100.00 
NI,I15,202400,RO	: 	109.66 	104.70 	93.46 	93.15 	100.00 
NI,I15,202400,SI	: 	106.71 	106.71 	101.12 	100.00 	100.00 
NI,I15,202400,SK	: 	127.50 	125.35 	114.93 	82.30 	100.00 
NI,I15,203000,AT	84.10 f	91.50 	84.10 	79.60 	88.30 	100.00 
NI,I15,203000,BE	81.96 f	89.60 	89.29 	85.58 	87.46 	100.00 
NI,I15,203000,BG	96.10 f	101.90 	96.80 	78.80 	81.60 	100.00 
NI,I15,203000,CY	89.52 f	102.11 	102.18 	105.92 	103.09 	100.00 
NI,I15,203000,CZ	79.60 f	84.30 	78.60 	77.90 	85.60 	100.00 
NI,I15,203000,DE	99.10 f	100.00 	94.40 	91.80 	93.30 	100.00 
NI,I15,203000,DK	85.43 f	90.98 	93.32 	89.49 	89.35 	100.00 
NI,I15,203000,EE	86.40 f	86.38 	83.08 	84.84 	91.99 	100.00 
NI,I15,203000,EL	97.71 f	98.27 	97.33 	97.01 	99.64 	100.00 
NI,I15,203000,ES	90.86 f	96.80 	91.00 	87.60 	91.80 	100.00 
