# Trading Date,Product Name,Product Symbol,Delivery Period,Delivery Start,Delivery End,Contract Volume,Open Price,High Price,Low Price,Last Price,Settlement Price,Change,Exchange Volume MWh,Exchange Traded Contracts,TradeReg Volume MWh,TradeReg Traded Contracts
"2021-07-16","F PXE RO PL CAL-23","FRPY 2023","202312","2023-01-02","2023-12-29",3120,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL CAL-24","FRPY 2024","202412","2024-01-01","2024-12-31",3144,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL CAL-25","FRPY 2025","202512","2025-01-01","2025-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL CAL-26","FRPY 2026","202612","2026-01-01","2026-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL CAL-27","FRPY 2027","202712","2027-01-01","2027-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL M01-22","FRPM Jan22","202201","2022-01-03","2022-01-31",252,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL M07-21","FRPM Jul21","202107","2021-07-01","2021-07-30",264,,,,,103.11,-0.24,,,,
"2021-07-16","F PXE RO PL M08-21","FRPM Aug21","202108","2021-08-02","2021-08-31",264,,,,,105.39,0.58,,,,
"2021-07-16","F PXE RO PL M09-21","FRPM Sep21","202109","2021-09-01","2021-09-30",264,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL M10-21","FRPM Oct21","202110","2021-10-01","2021-10-29",252,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL M11-21","FRPM Nov21","202111","2021-11-01","2021-11-30",264,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL M12-21","FRPM Dec21","202112","2021-12-01","2021-12-31",276,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL Q01-22","FRPQ Q122","202203","2022-01-03","2022-03-31",768,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL Q01-23","FRPQ Q123","202303","2023-01-02","2023-03-31",780,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL Q02-22","FRPQ Q222","202206","2022-04-01","2022-06-30",780,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL Q02-23","FRPQ Q223","202306","2023-04-03","2023-06-30",780,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL Q03-22","FRPQ Q322","202209","2022-07-01","2022-09-30",792,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL Q04-21","FRPQ Q421","202112","2021-10-01","2021-12-31",792,,,,,113.13,0.78,,,,
