sizehatch,typ_rear,incubat,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 
200001-500000,SHEN,UTI,RO	44131.30 	31298.80 	32201.30 	36020.70 	36906.50 	40566.60 	43216.50 	33464.80 	41005.10 	37117.80 	38265.80 	62303.00 	23397.00 	58311.50 	52617.00 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
200001-500000,SHEN,UTI,SE	: 	: c	: c	: c	0.00 	0.00 	0.00 	0.00 	: 	: c	: 	: 	: 	: 	: 	0.00 	0.00 	0 n	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
200001-500000,SHEN,UTI,SI	: c	: c	0.00 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	0.00 	: 	: 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
200001-500000,SHEN,UTI,SK	: c	: c	: c	: c	: c	: c	: c	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
200001-500000,SHEN,UTI,TR	17859.97 	17649.20 	17322.08 	10439.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
200001-500000,SHEN,UTI,UK	: 	: 	0.00 	: 	0.00 	0.00 	2798.00 	: c	: c	: c	0.00 	: c	2871.00 	: 	0.00 	0.00 	0.00 	13735 	0 	13658 	0 	0 	0 	0 	0 	0 	21980 	20734 	44570 	35839 	43015 	77104 	93852 	83323 	88543 	82093 	79014 	76647 	123571 	120506 	113844 	106967 	103713 	100626 	95066 	103685 	: 	: 
20001-50000,SHEN,CAP,AT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	81.18 	: c	: c	121.76 	123.76 	133.76 	134 	132 	162 	178.2 	107 	106.8 	134 	217.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,BA	38.00 	38.00 	38.00 	38.00 	67.00 	67.00 	38.00 	137.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,BE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	: 	0.00 	0.00 	0 n	: 	: 	0 	36 	36 	36 	36 	78 	128 	128 	212 	195 	195 	170 	165 	150 	222 	252 	252 	271 	328 	294 	404 	484 	604 	651 	660 	757 	1035 	962 
20001-50000,SHEN,CAP,BG	: c	: c	: c	: c	: c	: c	: c	0.00 	: c	124.00 	0.00 	92.00 	72.00 	: c	188.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,CY	: c	: 	: c	806.40 	806.40 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	0.00 	: 	0 n	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,CZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: c	: c	50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,DE	: 	: c	: 	: 	: 	: c	: c	: c	81.20 	28.10 	33.30 	93.20 	94.60 	114.70 	115.20 	275.20 	372.00 	354.6 	396.1 	375.4 	450.7 	361.2 	430.8 	562.5 	714.6 	681.4 	767.9 	883.2 	890.3 	: b	939.3 p	1009.5 p	234 	1073 	967 	1027 p	1037 p	1063 p	1292 p	1538 	1477 p	1800 p	2161 p	2290 p	2326 p	2433 p	2702 p	3059 p
20001-50000,SHEN,CAP,DK	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40 	40 	40 	127 	159 	159 	157 	261 	261 	350 	381 	416 	378 	457 	457 	539 	569 	521 	592 	632 	719 	832 	1194 
20001-50000,SHEN,CAP,EE	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,EL	64.00 	64.00 	: c	: c	: c	: c	: c	: c	0.00 	0.00 p	: c	: c	: c	: c	: c	: c	211.00 	20 	0 	0 	: 	0 	0 	0 	0 	36 	80 	80 	80 	70 	36 	36 	72 	170 	134 	193 	101 	239 	227 	291 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,ES	0.00 p	0.00 p	40.00 p	40.00 p	34.00 	0.00 p	34.00 p	34.00 p	34.00 p	0.00 p	0.00 	0.00 p	0.00 p	0.00 	0.00 	48.00 	48.00 	48 	2048 	0 	0 	204 	194 	904 	904 	109 	84 	84 	74 	74 	108 	125 	107 	136 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3393.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,FI	0.00 	0.00 	0.00 	0.00 	45.00 	45.00 	45.00 	45.00 	85.00 	85.00 	85.00 	85.00 	40.00 	74.00 	74.00 	74.00 	74.00 	156 	172 	197 	195 	330 	330 	240 	95 	120 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,FR	: 	90.00 p	0.00 p	90.00 p	90.00 p	90.00 p	90.00 p	: c	: c	: c	: c	: c	: c	145.10 	145.10 	190.50 	191.00 	212.1 	237.1 	: 	: 	: 	: 	: 	: 	1591 	1628 	1595 	1630 	1678 	1637 	1661 	1661 	1581 	1677 	1874 	1983 	2550 	2629 	2948 	3220 	3492 	3640 	3779 	3948 	4010 	4162 	4465 
20001-50000,SHEN,CAP,HR	190.00 	200.00 	206.00 	299.00 	289.00 	238.00 	238.00 	258.00 	296.00 	: 	: 	229.00 	259.00 	93.00 	83.00 	83.00 	61.00 	61 	73 	73 	73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,HU	267.50 	307.82 	335.82 	335.82 	526.30 	: 	: 	: 	812.00 	939.40 	776.00 	715.00 	885.00 	1447.80 	1573.00 	1926.70 	1774.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,IE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	42.1 	42.1 	42.1 	42.1 	22 	22 	22 	0 	22.5 	98.1 	117 	36 	104.4 	68 	68 	68 	30 	30 	59.8 	55.8 	70.1 	120 	109.8 
20001-50000,SHEN,CAP,IS	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,IT	50.00 	: 	82.00 	102.00 	90.00 	50.00 	82.00 	: 	35.00 	: 	: 	32.00 	32.00 	183.00 	183.00 	: 	183.00 	183 	119 	119 	183 	: 	183 	265 	220 	220 	220 	218 	326 	249 	321 	370 	368 	471 	780 	711 	449 	600 	643.7 	598.9 	743.8 	628.4 	798.2 	997.7 	1237.6 	1353.1 	1988.9 	2481.6 
20001-50000,SHEN,CAP,LT	: c	: c	: c	: c	: c	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
20001-50000,SHEN,CAP,LV	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,ME	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,MT	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	: 	: 	0.00 	: 	: 	0.00 	: 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,NL	81.00 	36.00 	59.00 	35.00 	38.00 	: 	0.00 	25.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	120.00 	: 	50.00 	: 	: 	: 	: 	: 	: 	: 	: 	148 	96 	96 	96 	120 	120 	120 	164 	199 	238 	383 	383 	358 	388 	388 	388 	532 	608 	678 	712 	812 	1253 	1904 
20001-50000,SHEN,CAP,PL	157.00 	216.30 	358.30 	286.00 	490.30 	424.00 	459.30 	475.80 	440.80 	395.00 	390.00 	544.70 	384.00 	617.00 	589.00 	679.00 	604.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,PT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	: c	0 	40 	: 	: 	: 	80 	80 	80 	94 	0 	0 	0 e	40 	80 	90 	93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,RO	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	66.00 	0.00 	0.00 	: 	47.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,SE	: 	: c	: c	: c	0.00 	0.00 	0.00 	0.00 	: 	: c	: 	: 	: 	: 	: 	0.00 	50000.00 	0 n	0 	0 	0 	0 	0 	0 	0 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,SI	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	22500.00 	40075.00 	51175.00 	25128.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,SK	0.00 	0.00 	0.00 	: 	0.00 	: c	0.00 	: c	: c	: c	36.00 	: c	75.00 	: c	116.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,TR	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,CAP,UK	: 	35.00 	34.00 	34.00 	40.00 	0.00 	0.00 	0.00 	0.00 	: c	: c	: c	: c	: 	4.90 	0.00 	0.00 	0 n	0 	0 	2.5 	4.7 	0 	0 	4.7 	0 	0 	0 	0 	0 	468 	468 	123 	244 	146 	146 	396 	183 	206 	233 	340 	396 	338 	452 	429 	546 	807 	1045 
20001-50000,SHEN,HAT,AT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	3.00 	: c	: c	4.00 	4.00 	4 	4 	4 	5 	5 	3 	3 	4 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,BA	1.00 	1.00 	1.00 	1.00 	2.00 	2.00 	1.00 	4.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,BE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	: 	0.00 	0.00 	0 n	: 	: 	0 	1 	1 	1 	1 	2 	3 	3 	5 	5 	5 	4 	4 	4 	6 	7 	7 	7 	9 	8 	11 	13 	16 	17 	17 	19 	28 	27 
20001-50000,SHEN,HAT,BG	: c	: c	: c	1.00 	1.00 	: c	: c	0.00 	2.00 	5.00 	0.00 	3.00 	2.00 	: c	3.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,CY	: c	: 	: c	: c	2.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	0.00 	: 	0 n	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,CZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	1.00 	1.00 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,DE	: 	1.00 	: 	: 	: 	: c	: c	: c	3.00 	3.00 	3.00 	6.00 	5.00 	6.00 	10.00 	12.00 	12.00 	10 	13 	11 	12 	13 	18 	22 	20 	21 	23 	22 	25 	: b	24 	25 	26 	32 	29 	31 	31 	32 	38 	47 	47 	54 	64 	68 	69 	75 	88 	96 
20001-50000,SHEN,HAT,DK	: c	: c	: c	: c	: c	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 	1 	4 	5 	5 	5 	8 	8 	10 	11 	12 	11 	13 	13 	16 	17 	16 	18 	19 	22 	26 	35 
20001-50000,SHEN,HAT,EE	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,EL	2.00 	2.00 	: c	: c	: c	: c	: c	: c	0.00 	0.00 p	: c	: c	: c	: c	: c	: c	7.00 	1 	0 	0 	: 	0 	0 	0 	0 	1 	2 	2 	2 	2 	1 	1 	2 	5 	9 	6 	3 	7 	7 	8 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,ES	0.00 p	0.00 p	1.00 p	1.00 p	1.00 	0.00 p	1.00 p	1.00 p	1.00 p	0.00 p	0.00 	0.00 p	0.00 p	0.00 	0.00 	1.00 	1.00 	1 	2 	0 	0 	3 	6 	22 	22 	3 	2 	2 	2 	2 	5 	4 	3 	4 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,FI	0.00 	0.00 	0.00 	0.00 	1.00 	1.00 	1.00 	1.00 	2.00 	2.00 	2.00 	2.00 	1.00 	2.00 	2.00 	2.00 	2.00 	4 	4 	5 	5 	6 	6 	6 	4 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,FR	: 	2.00 p	0.00 p	2.00 p	2.00 p	2.00 p	2.00 p	: c	: c	: c	: c	: c	: c	4.00 	4.00 	5.00 	5.00 	6 	7 	8 	9 	12 	10 	10 	10 	11 	14 	19 	22 	27 	29 	38 	39 	46 	49 	55 	58 	74 	76 	85 	93 	101 	104 	108 	112 	115 	122 	131 
20001-50000,SHEN,HAT,HR	7.00 	7.00 	7.00 	9.00 	9.00 	8.00 	8.00 	8.00 	9.00 	: 	: 	7.00 	8.00 	14.00 	13.00 	13.00 	12.00 	12 	11 	10 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,HU	8.00 	9.00 	10.00 	10.00 	15.00 	14.00 	14.00 	14.00 	23.00 	27.00 	23.00 	21.00 	27.00 	43.00 	46.00 	55.00 	52.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,IE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 	1 	1 	1 	1 	1 	0 	1 	3 	3 	1 	3 	2 	2 	2 	1 	1 	2 	2 	2 	3 	3 
20001-50000,SHEN,HAT,IS	: c	: c	2.00 	2.00 	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,IT	1.00 	: 	2.00 	2.00 	2.00 	1.00 	2.00 	0.00 	1.00 	0.00 	: 	1.00 	1.00 	6.00 	6.00 	: 	6.00 	6 	4 	4 	6 	: 	6 	8 	7 	7 	7 	7 	10 	8 	10 	10 	14 	19 	18 	20 	13 	17 	19 	18 	23 	20 	24 	30 	37 	41 	61 	76 
20001-50000,SHEN,HAT,LT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
20001-50000,SHEN,HAT,LV	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,ME	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,MT	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,NL	2.00 	1.00 	2.00 	1.00 	1.00 	: 	0.00 	1.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	3.00 	: 	1.00 	: 	: 	: 	: 	: 	: 	: 	: 	4 	4 	4 	4 	3 	3 	3 	4 	5 	6 	10 	10 	9 	10 	10 	10 	14 	23 	23 	26 	33 	38 	52 
20001-50000,SHEN,HAT,PL	4.00 	6.00 	10.00 	8.00 	13.00 	11.00 	13.00 	14.00 	13.00 	11.00 	11.00 	16.00 	11.00 	17.00 	17.00 	19.00 	17.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,PT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	: c	0 	: 	: 	: 	: 	2 	2 	2 	0 	0 	0 	0 e	1 	2 	2 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,RO	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	2.00 	0.00 	0.00 	: 	6.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,SE	: 	: c	: c	: c	0.00 	0.00 	0.00 	0.00 	: c	: c	: 	: 	: 	: 	: 	0.00 	1.00 	0 n	0 	0 	0 	0 	0 	0 	0 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,SI	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	1.00 	2.00 	2.00 	1.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,SK	0.00 	0.00 	0.00 	: 	0.00 	: c	0.00 	: c	: c	: c	: c	: c	: c	: c	3.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,TR	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,HAT,UK	: 	1.00 	1.00 	1.00 	1.00 	0.00 	0.00 	0.00 	0.00 	: c	: c	: c	: c	: 	1.00 	0.00 	0.00 	0 n	0 	0 	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	8 	8 	4 	3 	5 	5 	5 	6 	6 	8 	10 	11 	9 	12 	12 	16 	23 	29 
20001-50000,SHEN,INC,AT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	520.48 	: c	: c	436.45 	790.51 	828.66 	540 	406 	402 	945.3 	569.8 	654.6 	793.7 	1078.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
20001-50000,SHEN,INC,BA	371.00 	334.00 	620.00 	684.00 	706.00 	2940.00 	2813.00 	1365.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
