sizehatch,typ_rear,incubat,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 
100001-200000,SHEN,CAP,PL	2161.00 	1892.20 	1946.20 	21694.40 	2378.20 	2186.80 	2622.00 	2401.80 	1859.80 	2047.80 	2306.80 	2563.00 	3158.20 	3385.00 	4222.00 	3980.00 	4776.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,PT	0.00 	0.00 	0.00 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	0.00 	360.00 	458 	: 	: 	480 	460 	460 	: 	160 	160 	306 	576 	507 	561 	662 	816 	836 	636 	402 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,RO	196.30 	172.80 	172.80 	172.80 	172.80 	172.80 	172.80 	336.00 	336.00 	224.00 	224.00 	450.00 	341.00 	439.00 	456.00 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,SE	: 	: c	: c	: c	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	0.00 	114000.00 	0 n	0 	0 	0 	0 	0 	0 	0 	214.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,SI	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,SK	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,TR	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,UK	: 	: 	134.00 	: 	0.00 	0.00 	127.00 	: c	0.00 	0.00 	0.00 	0.00 	0.00 	: 	18.60 	0.00 	0.00 	13.7 	0 	13.7 	0 	0 	0 	0 	0 	0 	0 	1041 	0 	0 	752 	894 	862 	762 	811 	811 	888 	1068 	1078 	1234 	1086 	1383 	1739 	1738 	2274 	2440 	2056 	3332 
100001-200000,SHEN,HAT,AT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	3.00 	: c	: c	3 	4 	8 	8 	9 	9 	9 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,BA	2.00 	2.00 	2.00 	2.00 	3.00 	3.00 	4.00 	4.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
