Data Source in SDW: https://odslwebdev.z6.web.core.windows.net/
,EST.B.EU000A2QQF08.CI,EST.B.EU000A2QQF16.CR,EST.B.EU000A2QQF24.CR,EST.B.EU000A2QQF32.CR,EST.B.EU000A2QQF40.CR,EST.B.EU000A2QQF57.CR,EST.B.EU000A2X2A25.CM,EST.B.EU000A2X2A25.NB,EST.B.EU000A2X2A25.NT,EST.B.EU000A2X2A25.R25,EST.B.EU000A2X2A25.R75,EST.B.EU000A2X2A25.RP,EST.B.EU000A2X2A25.TT,EST.B.EU000A2X2A25.VL,EST.B.EU000A2X2A25.WT
,"Compounded Euro Short-Term Rate Index, Index of compounded interest","Euro Short-Term Rate - 1-week Compounded Average Rate, Compounded average rate","Euro Short-Term Rate - 1-month Compounded Average Rate, Compounded average rate","Euro Short-Term Rate - 3-months Compounded Average Rate, Compounded average rate","Euro Short-Term Rate - 6-months Compounded Average Rate, Compounded average rate","Euro Short-Term Rate - 12-months Compounded Average Rate, Compounded average rate","Euro short-term rate, Calculation method","Euro short-term rate, Number of active banks","Euro short-term rate, Number of transactions","Euro short-term rate, Rate at 25th percentile of volume","Euro short-term rate, Rate at 75th percentile of volume","Euro short-term rate, Publication type","Euro short-term rate, Total volume","Euro short-term rate, Share of volume of the 5 largest active banks","Euro short-term rate, Volume-weighted trimmed mean rate"
Collection:,Unknown (U),Unknown (U),Unknown (U),Unknown (U),Unknown (U),Unknown (U),Other (V),Summed through period (S),Summed through period (S),Other (V),Other (V),Other (V),Summed through period (S),Other (V),Average of observations through period (A)
Period\Unit:,,,,,,,[Not applicable ],[Not applicable ],[Not applicable ],[Percent ],[Percent ],[Not applicable ],[Millions of Euro],[Percent ],[Percent ]
2021-08-26,98.93923924,-0.56669,-0.56771,-0.56577,-0.56478,-0.56021,,,,,,,,,
2021-08-25,98.94078931,-0.56712,-0.56774,-0.56578,-0.56478,-0.56018,0,30,421,-0.58,-0.55,0,40667,61,-0.564
2021-08-24,98.94234766,-0.56726,-0.56777,-0.56577,-0.56476,-0.56014,0,31,476,-0.60,-0.55,0,45630,59,-0.567
2021-08-23,98.94390877,-0.56741,-0.56777,-0.56568,-0.56475,-0.56005,0,31,497,-0.60,-0.55,0,48214,57,-0.568
2021-08-20,98.94858409,-0.56826,-0.56768,-0.56562,-0.56467,-0.56000,0,30,506,-0.59,-0.55,0,48770,59,-0.567
2021-08-19,98.95014256,-0.56841,-0.56764,-0.56559,-0.56466,-0.55996,0,32,515,-0.59,-0.55,0,49694,58,-0.567
2021-08-18,98.95170104,-0.56841,-0.56759,-0.56549,-0.56464,-0.55992,0,32,512,-0.59,-0.55,0,51169,58,-0.567
2021-08-17,98.95326231,-0.56826,-0.56758,-0.56546,-0.56461,-0.55988,0,31,513,-0.59,-0.55,0,51196,58,-0.568
2021-08-16,98.95482634,-0.56812,-0.56755,-0.56536,-0.56458,-0.55975,0,30,490,-0.59,-0.55,0,49862,59,-0.569
2021-08-13,98.95951867,-0.56812,-0.56726,-0.56524,-0.56448,-0.55967,0,31,493,-0.59,-0.55,0,49636,57,-0.569
2021-08-12,98.96108006,-0.56783,-0.56726,-0.56520,-0.56447,-0.55963,0,32,522,-0.59,-0.55,0,51208,57,-0.568
2021-08-11,98.96263872,-0.56826,-0.56713,-0.56516,-0.56446,-0.55959,0,31,515,-0.58,-0.55,0,50480,59,-0.567
2021-08-10,98.96419741,-0.56869,-0.56715,-0.56516,-0.56444,-0.55955,0,33,529,-0.59,-0.55,0,51988,57,-0.567
2021-08-09,98.96575887,-0.56826,-0.56713,-0.56505,-0.56442,-0.55946,0,30,505,-0.59,-0.55,0,51272,57,-0.568
2021-08-06,98.97045172,-0.56912,-0.56677,-0.56494,-0.56434,-0.55938,0,29,503,-0.59,-0.55,0,55680,60,-0.569
2021-08-05,98.97200778,-0.56926,-0.56677,-0.56494,-0.56434,-0.55934,0,30,440,-0.58,-0.55,0,47580,59,-0.566
2021-08-04,98.97357486,-0.56883,-0.56650,-0.56487,-0.56431,-0.55929,0,29,503,-0.60,-0.55,0,54069,57,-0.570
2021-08-03,98.97514196,-0.56783,-0.56640,-0.56484,-0.56424,-0.55924,0,30,511,-0.60,-0.55,0,53388,57,-0.570
2021-08-02,98.97669535,-0.56812,-0.56645,-0.56485,-0.56423,-0.55923,0,28,426,-0.58,-0.55,0,44914,62,-0.565
2021-07-30,98.98140521,-0.56641,-0.56644,-0.56478,-0.56412,-0.55903,0,28,471,-0.60,-0.55,0,43874,60,-0.571
2021-07-29,98.98296420,-0.56583,-0.56647,-0.56477,-0.56411,-0.55900,0,30,506,-0.59,-0.55,0,47964,57,-0.567
2021-07-28,98.98452320,-0.56598,-0.56644,-0.56476,-0.56408,-0.55895,0,31,511,-0.59,-0.55,0,50519,57,-0.567
2021-07-27,98.98607123,-0.56655,-0.56640,-0.56473,-0.56408,-0.55892,0,32,527,-0.58,-0.54,0,54696,52,-0.563
2021-07-26,98.98763029,-0.56641,-0.56639,-0.56473,-0.56403,-0.55882,0,30,524,-0.58,-0.55,0,49755,56,-0.567
2021-07-23,98.99230768,-0.56641,-0.56617,-0.56466,-0.56392,-0.55875,0,30,509,-0.58,-0.55,0,50208,57,-0.567
2021-07-22,98.99385583,-0.56683,-0.56621,-0.56468,-0.56394,-0.55871,0,28,409,-0.58,-0.54,0,40605,66,-0.563
2021-07-21,98.99541776,-0.56655,-0.56607,-0.56465,-0.56390,-0.55866,0,30,501,-0.58,-0.55,0,52586,56,-0.568
2021-07-20,98.99697696,-0.56641,-0.56574,-0.56465,-0.56389,-0.55862,0,30,488,-0.58,-0.55,0,49967,56,-0.567
2021-07-19,98.99853344,-0.56669,-0.56574,-0.56466,-0.56388,-0.55852,0,33,498,-0.58,-0.55,0,50509,55,-0.566
2021-07-16,99.00321134,-0.56626,-0.56541,-0.56459,-0.56386,-0.55842,0,31,493,-0.58,-0.55,0,50450,56,-0.567
2021-07-15,99.00476791,-0.56626,-0.56524,-0.56459,-0.56385,-0.55838,0,33,502,-0.58,-0.55,0,49676,57,-0.566
2021-07-14,99.00632451,-0.56612,-0.56521,-0.56453,-0.56384,-0.55833,0,30,488,-0.59,-0.54,0,47230,58,-0.566
2021-07-13,99.00788114,-0.56598,-0.56524,-0.56450,-0.56382,-0.55830,0,30,481,-0.58,-0.55,0,47559,59,-0.566
2021-07-12,99.00944329,-0.56569,-0.56516,-0.56448,-0.56379,-0.55818,0,28,449,-0.59,-0.55,0,42542,58,-0.568
2021-07-09,99.01411345,-0.56526,-0.56491,-0.56455,-0.56372,-0.55811,0,30,497,-0.58,-0.55,0,52139,56,-0.566
2021-07-08,99.01567020,-0.56512,-0.56481,-0.56459,-0.56372,-0.55806,0,31,506,-0.58,-0.55,0,50011,57,-0.566
2021-07-07,99.01722422,-0.56741,-0.56478,-0.56462,-0.56372,-0.55802,0,29,486,-0.58,-0.55,0,48092,59,-0.565
2021-07-06,99.01877826,-0.56783,-0.56459,-0.56464,-0.56372,-0.55798,0,29,492,-0.58,-0.55,0,46373,58,-0.565
2021-07-05,99.02033508,-0.56783,-0.56455,-0.56466,-0.56371,-0.55787,0,30,514,-0.59,-0.54,0,51933,52,-0.566
2021-07-02,99.02499751,-0.56783,-0.56441,-0.56468,-0.56371,-0.55780,0,30,494,-0.59,-0.55,0,46025,57,-0.565
2021-07-01,99.02655168,-0.56783,-0.56438,-0.56468,-0.56372,-0.55775,0,30,476,-0.59,-0.54,0,43218,56,-0.565
2021-06-30,99.02814988,-0.56526,-0.56420,-0.56466,-0.56396,-0.55768,0,28,455,-0.60,-0.54,0,34473,59,-0.581
2021-06-29,99.02971235,-0.56469,-0.56409,-0.56468,-0.56390,-0.55762,0,30,409,-0.60,-0.55,0,37503,57,-0.568
2021-06-28,99.03126934,-0.56441,-0.56403,-0.56475,-0.56383,-0.55749,0,31,469,-0.59,-0.55,0,41677,55,-0.566
2021-06-25,99.03593228,-0.56355,-0.56400,-0.56475,-0.56361,-0.55742,0,30,457,-0.58,-0.55,0,40811,54,-0.565
2021-06-24,99.03748662,-0.56326,-0.56403,-0.56474,-0.56361,-0.55737,0,31,455,-0.58,-0.55,0,40796,54,-0.565
2021-06-23,99.03903548,-0.56312,-0.56404,-0.56474,-0.56359,-0.55732,0,31,447,-0.58,-0.54,0,40523,58,-0.563
2021-06-22,99.04058712,-0.56269,-0.56405,-0.56476,-0.56356,-0.55726,0,30,457,-0.58,-0.54,0,41014,57,-0.564
2021-06-21,99.04213878,-0.56283,-0.56407,-0.56476,-0.56352,-0.55714,0,28,467,-0.58,-0.54,0,43721,58,-0.564
2021-06-18,99.04678572,-0.56412,-0.56394,-0.56485,-0.56344,-0.55707,0,29,437,-0.58,-0.54,0,41618,62,-0.563
2021-06-17,99.04833473,-0.56383,-0.56400,-0.56483,-0.56340,-0.55702,0,31,443,-0.58,-0.54,0,42415,61,-0.563
2021-06-16,99.04988101,-0.56412,-0.56404,-0.56483,-0.56337,-0.55697,0,29,452,-0.58,-0.54,0,43971,60,-0.562
2021-06-15,99.05142456,-0.56441,-0.56415,-0.56486,-0.56332,-0.55694,0,30,456,-0.58,-0.54,0,50091,52,-0.561
2021-06-14,99.05297914,-0.56426,-0.56413,-0.56475,-0.56328,-0.55681,0,29,453,-0.59,-0.55,0,45066,57,-0.565
2021-06-11,99.05765136,-0.56298,-0.56394,-0.56469,-0.56313,-0.55672,0,31,463,-0.58,-0.55,0,45334,57,-0.566
2021-06-10,99.05919503,-0.56326,-0.56413,-0.56470,-0.56310,-0.55669,0,29,420,-0.58,-0.55,0,40680,65,-0.561
2021-06-09,99.06074698,-0.56312,-0.56401,-0.56466,-0.56306,-0.55663,0,31,450,-0.58,-0.55,0,43666,60,-0.564
2021-06-08,99.06229621,-0.56326,-0.56405,-0.56460,-0.56304,-0.55659,0,32,456,-0.58,-0.55,0,43660,62,-0.563
2021-06-07,99.06384821,-0.56426,-0.56407,-0.56451,-0.56299,-0.55645,0,30,446,-0.58,-0.55,0,46150,59,-0.564
2021-06-04,99.06849617,-0.56555,-0.56426,-0.56458,-0.56285,-0.55638,0,31,461,-0.58,-0.55,0,47087,58,-0.563
2021-06-03,99.07004552,-0.56569,-0.56439,-0.56460,-0.56282,-0.55632,0,29,411,-0.58,-0.55,0,43233,62,-0.563
2021-06-02,99.07159489,-0.56598,-0.56444,-0.56462,-0.56278,-0.55627,0,28,395,-0.58,-0.55,0,42552,60,-0.563
2021-06-01,99.07314703,-0.56612,-0.56447,-0.56461,-0.56274,-0.55622,0,28,448,-0.58,-0.55,0,49004,58,-0.564
2021-05-31,99.07471847,-0.56541,-0.56468,-0.56457,-0.56268,-0.55603,0,29,380,-0.60,-0.55,0,37631,62,-0.571
2021-05-28,99.07939171,-0.56455,-0.56464,-0.56455,-0.56253,-0.55592,0,31,371,-0.60,-0.54,0,38000,55,-0.566
2021-05-27,99.08094398,-0.56441,-0.56451,-0.56457,-0.56253,-0.55586,0,30,433,-0.58,-0.55,0,45435,57,-0.564
2021-05-26,99.08249903,-0.56426,-0.56458,-0.56457,-0.56248,-0.55580,0,31,450,-0.59,-0.55,0,46159,54,-0.565
2021-05-25,99.08405409,-0.56326,-0.56459,-0.56456,-0.56242,-0.55573,0,31,441,-0.59,-0.55,0,44876,53,-0.565
2021-05-24,99.08561194,-0.56312,-0.56455,-0.56454,-0.56237,-0.55555,0,24,311,-0.59,-0.55,0,35059,56,-0.566
2021-05-21,99.09026918,-0.56312,-0.56464,-0.56448,-0.56221,-0.55547,0,24,343,-0.58,-0.55,0,35085,58,-0.564
2021-05-20,99.09181887,-0.56326,-0.56478,-0.56451,-0.56222,-0.55542,0,31,465,-0.58,-0.55,0,45516,54,-0.563
2021-05-19,99.09337133,-0.56326,-0.56487,-0.56452,-0.56218,-0.55536,0,31,453,-0.58,-0.55,0,45375,52,-0.564
2021-05-18,99.09490730,-0.56412,-0.56509,-0.56457,-0.56217,-0.55531,0,30,464,-0.58,-0.54,0,45226,54,-0.558
2021-05-17,99.09646257,-0.56441,-0.56510,-0.56455,-0.56213,-0.55517,0,31,456,-0.59,-0.55,0,43036,56,-0.565
2021-05-14,99.10112032,-0.56398,-0.56507,-0.56451,-0.56197,-0.55508,0,31,454,-0.58,-0.55,0,41322,57,-0.564
2021-05-13,99.10267293,-0.56412,-0.56504,-0.56452,-0.56196,-0.55502,0,22,328,-0.59,-0.55,0,35708,58,-0.564
2021-05-12,99.10422556,-0.56441,-0.56514,-0.56454,-0.56188,-0.55496,0,25,349,-0.58,-0.55,0,36495,59,-0.564
2021-05-11,99.10577822,-0.56441,-0.56543,-0.56455,-0.56184,-0.55490,0,30,464,-0.58,-0.55,0,45691,57,-0.564
2021-05-10,99.10733916,-0.56441,-0.56539,-0.56451,-0.56179,-0.55474,0,32,462,-0.60,-0.55,0,47499,56,-0.567
2021-05-07,99.11198916,-0.56698,-0.56584,-0.56454,-0.56168,-0.55465,0,31,459,-0.58,-0.55,0,46775,56,-0.563
2021-05-06,99.11354469,-0.56712,-0.56591,-0.56454,-0.56167,-0.55459,0,31,464,-0.58,-0.55,0,47780,54,-0.565
2021-05-05,99.11510300,-0.56712,-0.56589,-0.56454,-0.56161,-0.55452,0,31,461,-0.59,-0.55,0,47399,54,-0.566
2021-05-04,99.11665583,-0.56655,-0.56595,-0.56454,-0.56158,-0.55446,0,28,454,-0.58,-0.55,0,44829,55,-0.564
2021-05-03,99.11821694,-0.56655,-0.56593,-0.56444,-0.56150,-0.55443,0,24,334,-0.60,-0.55,0,38184,54,-0.567
2021-04-30,99.12291702,-0.56483,-0.56603,-0.56427,-0.56126,-0.55405,0,23,329,-0.60,-0.55,0,33962,62,-0.569
2021-04-29,99.12447548,-0.56469,-0.56616,-0.56426,-0.56118,-0.55399,0,29,427,-0.59,-0.55,0,43603,54,-0.566
2021-04-28,99.12603396,-0.56455,-0.56632,-0.56420,-0.56112,-0.55392,0,29,457,-0.59,-0.55,0,45374,56,-0.566
2021-04-27,99.12757595,-0.56555,-0.56652,-0.56423,-0.56109,-0.55386,0,31,453,-0.58,-0.54,0,51682,49,-0.560
2021-04-26,99.12913723,-0.56555,-0.56652,-0.56413,-0.56101,-0.55369,0,31,461,-0.60,-0.55,0,47961,56,-0.567
2021-04-23,99.13380478,-0.56555,-0.56639,-0.56399,-0.56081,-0.55358,0,30,462,-0.59,-0.55,0,48082,58,-0.565
2021-04-22,99.13536065,-0.56569,-0.56642,-0.56399,-0.56075,-0.55350,0,31,452,-0.59,-0.55,0,47511,54,-0.565
2021-04-21,99.13691655,-0.56498,-0.56632,-0.56396,-0.56068,-0.55344,0,30,455,-0.59,-0.54,0,47627,54,-0.565
2021-04-20,99.13847798,-0.56441,-0.56631,-0.56392,-0.56060,-0.55337,0,30,451,-0.60,-0.55,0,47180,54,-0.567
2021-04-19,99.14003944,-0.56441,-0.56629,-0.56389,-0.56053,-0.55319,0,31,460,-0.59,-0.55,0,47050,53,-0.567
2021-04-16,99.14470750,-0.56569,-0.56610,-0.56393,-0.56033,-0.55306,0,31,444,-0.59,-0.55,0,43952,55,-0.565
2021-04-15,99.14626630,-0.56626,-0.56603,-0.56391,-0.56027,-0.55297,0,31,461,-0.59,-0.55,0,47286,54,-0.566
2021-04-14,99.14780860,-0.56726,-0.56583,-0.56396,-0.56025,-0.55290,0,29,420,-0.58,-0.54,0,41489,57,-0.560
2021-04-13,99.14935919,-0.56783,-0.56593,-0.56394,-0.56021,-0.55261,0,30,429,-0.58,-0.54,0,42773,52,-0.563
2021-04-12,99.15092081,-0.56706,-0.56591,-0.56390,-0.56015,-0.55258,0,31,455,-0.60,-0.55,0,49545,54,-0.567
2021-04-09,99.15561418,-0.56673,-0.56523,-0.56369,-0.55990,-0.55248,0,32,477,-0.60,-0.55,0,52686,52,-0.568
2021-04-08,99.15718417,-0.56627,-0.56484,-0.56363,-0.55981,-0.55239,0,32,474,-0.60,-0.55,0,53462,52,-0.570
2021-04-07,99.15874592,-0.56727,-0.56450,-0.56361,-0.55974,-0.55229,0,31,464,-0.60,-0.55,0,53951,54,-0.567
2021-04-06,99.16030769,-0.56770,-0.56443,-0.56360,-0.55968,-0.55220,0,33,470,-0.60,-0.55,0,51214,53,-0.567
2021-04-01,99.16810341,-0.56883,-0.56419,-0.56351,-0.55940,-0.55179,0,31,442,-0.60,-0.54,0,43396,54,-0.566
2021-03-31,99.16968461,-0.56741,-0.56404,-0.56423,-0.55938,-0.55165,0,30,468,-0.60,-0.54,0,45134,55,-0.574
2021-03-30,99.17125483,-0.56641,-0.56387,-0.56407,-0.55933,-0.55153,0,31,451,-0.60,-0.55,0,40088,50,-0.570
2021-03-29,99.17282506,-0.56583,-0.56368,-0.56392,-0.55925,-0.55129,0,31,440,-0.60,-0.55,0,38771,50,-0.570
2021-03-26,99.17751946,-0.56455,-0.56324,-0.56327,-0.55899,-0.55111,0,33,450,-0.60,-0.55,0,40218,50,-0.568
2021-03-25,99.17907327,-0.56483,-0.56324,-0.56327,-0.55897,-0.55101,0,31,448,-0.59,-0.54,0,38243,52,-0.564
2021-03-24,99.18062710,-0.56441,-0.56324,-0.56327,-0.55891,-0.55091,0,32,463,-0.59,-0.55,0,40413,50,-0.564
2021-03-23,99.18217820,-0.56426,-0.56331,-0.56322,-0.55884,-0.55080,0,32,457,-0.59,-0.54,0,41134,52,-0.563
2021-03-22,99.18373759,-0.56398,-0.56324,-0.56313,-0.55876,-0.55053,0,30,451,-0.59,-0.54,0,41907,53,-0.566
2021-03-19,99.18840771,-0.56269,-0.56303,-0.56283,-0.55850,-0.55036,0,32,441,-0.60,-0.54,0,40784,54,-0.565
2021-03-18,99.18996720,-0.56198,-0.56288,-0.56280,-0.55847,-0.55026,0,31,459,-0.60,-0.54,0,43553,53,-0.566
2021-03-17,99.19151293,-0.56212,-0.56296,-0.56275,-0.55843,-0.55018,0,30,404,-0.58,-0.54,0,40172,54,-0.561
2021-03-16,99.19306144,-0.56183,-0.56303,-0.56269,-0.55839,-0.55011,0,30,455,-0.58,-0.54,0,48940,51,-0.562
2021-03-15,99.19461549,-0.56098,-0.56299,-0.56255,-0.55832,-0.54998,0,30,452,-0.58,-0.54,0,46886,55,-0.564
2021-03-12,99.19926132,-0.56098,-0.56321,-0.56232,-0.55815,-0.54987,0,31,454,-0.58,-0.54,0,43926,54,-0.562
2021-03-11,99.20080720,-0.56155,-0.56335,-0.56235,-0.55814,-0.54982,0,31,465,-0.58,-0.54,0,46913,54,-0.561
2021-03-10,99.20235586,-0.56198,-0.56342,-0.56228,-0.55810,-0.54976,0,32,463,-0.58,-0.54,0,45218,57,-0.562
2021-03-09,99.20389903,-0.56269,-0.56356,-0.56224,-0.55806,-0.54971,0,30,382,-0.58,-0.54,0,33966,58,-0.560
2021-03-08,99.20543672,-0.56341,-0.56374,-0.56225,-0.55804,-0.54960,0,31,412,-0.58,-0.54,0,39690,57,-0.558
2021-03-05,99.21008306,-0.56512,-0.56406,-0.56193,-0.55782,-0.54949,0,32,449,-0.58,-0.54,0,42671,56,-0.562
2021-03-04,99.21164013,-0.56498,-0.56403,-0.56190,-0.55779,-0.54942,0,32,463,-0.59,-0.54,0,46676,57,-0.565
2021-03-03,99.21319723,-0.56483,-0.56378,-0.56180,-0.55772,-0.54936,0,32,462,-0.60,-0.54,0,49099,56,-0.565
