currency,prod_veg,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EUR,01120000,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.26 	18.27 	11.28 	9.77 	10.87 	12.20 	12.27 	10.74 	9.58 
EUR,01200000,AT	12.55 p	14.98 	15.70 	12.52 	12.12 	11.92 	12.21 	19.13 	19.92 	18.65 	6.73 p	12.33 	17.66 	11.72 	7.92 	7.95 	10.77 	9.21 	10.10 	10.86 
EUR,01200000,BE	13.30 	13.95 	10.88 	9.73 e	10.75 	11.01 	12.41 	14.88 	12.22 	10.91 	6.54 	9.61 	8.94 	8.70 	8.61 	7.48 	10.92 	7.81 	9.52 	9.19 
EUR,01200000,BG	14.79 	13.40 	13.65 	12.29 	13.28 	13.1 	16.16 	17.62 	14.13 	11.38 	14.53 	17.50 	12.97 	8.32 	7.87 	11.64 	9.75 	8.18 	9.39 	9.10 
EUR,01200000,CZ	16.56 	16.30 	14.59 	13.87 	14.37 	14.27 	17.78 	20.32 	19.22 	11.28 	10.01 	19.20 	15.80 	10.06 	7.92 	11.03 	11.06 	12.01 	11.17 	7.61 
EUR,01200000,DE	15.14 	15.99 	13.95 	12.20 	13.25 	14.28 	15.96 	20.42 	20.17 	12.87 	9.03 	16.50 	17.30 	11.16 	8.31 	9.51 	10.33 	9.23 	10.37 	11.10 
EUR,01200000,DK	15.30 	16.00 	13.40 	12.40 	13.21 	14.00 	16.70 	19.93 	17.18 	12.08 	9.80 	17.44 	15.88 	10.06 	9.34 	9.58 	8.99 	9.05 	10.21 	10.99 
EUR,01200000,EE	: 	14.28 	12.43 	11.67 	12.14 	15.27 	15.02 	17.89 	16.84 	12.00 	7.37 	12.64 	17.26 	10.83 	9.33 	10.88 	8.72 	9.59 	9.41 	8.63 
EUR,01200000,EL	16.22 	13.79 	12.71 	13.15 	12.34 	11.91 	13.57 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01200000,ES	16.33 	16.32 	15.66 	13.46 	16.38 	15.46 	16.95 	21.92 	18.36 	14.65 	12.18 	16.03 	17.79 	12.56 	13.13 	12.42 	14.29 	12.22 	12.34 	11.30 
